Strategy Name,N,AUM
"Market 60 (ETF, Low Min)",188,3008523.23
Blended - 00228,1,2955134.2
"Multifactor 70 (ETF, exCore, QUSLGVMQ, 5YCRPETF)",3,2949209.61
"Multifactor 80 TM (ETF, All Weather)",3,2935857.6999999997
Market 20 (ETF),21,2884967.16
"Multifactor 60 TM (ETF, 5YMUNETF)",3,2865801.24
"Multifactor 10 (ETF, exCore)",6,2842372.14
"Multifactor 40 (ETF, 5YCRPETF)",4,2760835.18
"Market 60 TM (ETF, Ex China)",3,2741345.35
Blended - 00114,2,2714784.6
"Multifactor 50 (ETF, B5YCRP)",2,2703410.42
"Income 60 TM (ETF, QUSLGDIV)",1,2650634.35
Blended - 00091,2,2633477.14
Blended - 00308,3,2632432.98
Market 40 TM (ETF),11,2606949.26
Blended - 00084,2,2574632.11
"Multifactor 50 (ETF, US Only, QUSALVMQ)",1,2537753.79
Blended - 00086,4,2522993.95
"Multifactor 40 (ETF, QUSALVMQ, 5YCRPETF)",1,2452828.14
"Multifactor 80 TM (ETF, QUSLGVMQ, 5YMUNETF)",1,2452385.74
"Income 70 TM (ETF, QUSLGDIV)",1,2446172.42
"Multifactor 50 (ETF, QUSLGVMQ, 5YCRPETF)",2,2437442.88
"Multifactor 50 (ETF, QUSALVMQ, B5YCRP)",2,2437184.6399999997
"Income 60 (ETF, All Weather)",9,2431297.02
"Multifactor 60 TM (ETF, exCore, N7YMUN)",1,2418013.55
Market 30 TM (ETF),6,2414217.23
"Income 10 (ETF, exCore)",1,2399952.56
"Multifactor 50 (ETF, QUSALVMQ, 5YCRPETF)",3,2343237.63
Blended - 00092,1,2327674.82
"Income 80 (ETF, QUSLGDIV)",1,2326829.83
"Multifactor 100 (ETF, US Only, QUSLGVMQ)",3,2307583.7800000003
"Multifactor 60 TM (ETF, QUSLGVMQ, 5YMUNETF)",1,2306846.93
BlackRock Corporate 1-10 Year,3,2262752.66
"Market 90 (ETF, 5YTRYETF)",1,2262479.91
"Multifactor 50 TM (ETF, QUSALVMQ, N7YMUN)",2,2258996.55
"Market 40 (ETF, MUSLGMKTLM, 5YCRPETF)",1,2246476.39
"Multifactor 50 TM (ETF, N7YMUN)",2,2218308.09
"Multifactor 20 (ETF, B5YCRP)",2,2198724.99
"Multifactor 30 (ETF, 5YCRPETF)",5,2111169.76
"Income 70 (ETF, QUSLGDIV)",4,2093843.16
"Multifactor 60 (ETF, US Only, QUSLGVMQ)",1,2078008.87
"Multifactor 20 TM (ETF, QUSALVMQ)",1,2076866.6
"Multifactor 50 (ETF, US Only)",14,2068144.7000000002
"MA Fixed Income (ETF, US High Yield)",7,2036704.46
"Market 40 (ETF, Low Min)",43,2030913.98
QP Global Climate Solutions,2,2003321.3599999999
"Multifactor 40 (ETF, US Only)",7,1996381.06
"Income 100 (ETF, All Weather)",1,1965076.86
"Multifactor 60 (ETF, exCore, QUSALVMQ)",1,1957043.35
QP Factor US Large Cap Low Volatility,1,1952435.79
QP Market US All Cap,6,1937334.77
"Multifactor 70 (ETF, 5YTRYETF)",6,1915461.48
Blended - 00046,1,1890678.11
"Income 50 (ETF, QUSLGDIV)",2,1878772.88
"MA Fixed Income TM (ETF, High Yield)",2,1870344.03
Market 60 (ERISA),2,1867481.73
"Multifactor 50 TM (ETF, exCore, QUSLGVMQ, N7YMUN)",1,1838498.23
Income 80 TM (ETF),2,1835609.52
"Multifactor 40 (ETF, exCore, 5YCRPETF)",1,1824887.26
"Multifactor 60 TM (ETF, All Weather)",2,1751635.6400000001
"Market 100 (ETF, Ex China)",16,1739801.72
Blended - 00064,1,1666931.26
Blended - 00028,1,1637982.08
"Multifactor 20 TM (ETF, CA Muni)",4,1627741.87
Income 90 (ETF),9,1617483.38
Blended - 00330,1,1579387.7
"Multifactor 60 TM (ETF, N7YMUN)",1,1575349.9
Blended - 00332,1,1568817.46
"Multifactor 30 (ETF, QUSALVMQ, B5YCRP)",1,1566103.32
MA 9 Year US Corporate Ladder (ETF),2,1559250.5799999998
"Market 60 (ETF, MUSLGMKTLM)",2,1548117.48
Blended - 00340,2,1546862.18
"Market 60 TM (ETF, QUSLGMKT)",1,1544738.48
"Multifactor 40 (ETF, QUSLGVMQ, B5YCRP)",1,1543866.58
"Market 50 (ETF, 5YTRYETF)",4,1524810.66
"Multifactor 30 (ETF, Ex China)",2,1502947.47
"Market 30 TM (ETF, N7YMUN)",1,1502857.13
"Multifactor 30 (ETF, US Only)",7,1502163.09
"Income 80 TM (ETF, QUSLGDIV)",1,1501848.24
Blended - 00018,1,1491883.96
Blended - 00342,1,1462800.3
"Multifactor 60 TM (ETF,exCore,QUSLGVMQ,5YMUNETF)",1,1445685.19
"Multifactor 70 (ETF, exCore, 5YCRPETF)",1,1437228.12
"Multifactor 90 (ETF, US Only, QUSLGVMQ)",2,1429729.3599999999
Blended - 00029,1,1425576.47
Blended - 00138,1,1420066.36
Blended - 00118,3,1392479.89
"Income 100 (ETF, QUSLGDIV)",4,1389027.07
"Income 80 (ETF, QUSLGDIV, B5YCRP)",1,1375299.8
Multifactor 10 TM (ETF),1,1361531.14
"Multifactor 50 (ETF, exCore, B5YCRP)",1,1360919.95
QP Factor US Small VMQ,5,1357691.38
"Multifactor 40 TM (ETF, QUSLGVMQ)",2,1340939.68
"Market 50 (ETF, ESG)",1,1336460.63
"Multifactor 80 TM (ETF, 5YMUNETF)",3,1336232.93
Blended - 00343,1,1261121.21
"Market 90 (ETF, Ex China)",2,1252737.71
Blended - 00080,1,1244599.84
"Multifactor 60 (ETF, exCore, 5YCRPETF)",2,1223933.1099999999
Blended - 00085,1,1194318.36
QP Factor US Large VQ,1,1178541.38
"Multifactor 60 TM (ETF, US Only)",2,1169727.4200000002
Blended - 00317,1,1159156.4
"Income 60 TM (ETF, QUSLGDIV, N7YMUN)",1,1142016.81
"Multifactor 20 (ETF, 5YTRYETF)",1,1141273.64
"Multifactor 60 (ETF, All Weather PC Only)",1,1132431.91
"Market 40 (ETF, 5YCRPETF)",2,1122434.98
"Multifactor 10 (ETF, B5YCRP)",1,1106728.3
"Income 70 (ETF, QUSLGDIV, B5YCRP)",1,1105126.12
"Market 90 (ETF, MUSLGMKTLM, 5YTRYETF)",1,1087254.37
"Market 70 TM (ETF, Ex China)",4,1068645.52
Income 90 TM (ETF),1,1056517.5
"Multifactor 70 TM (ETF, exCore, QUSALVMQ, CA Muni)",1,1044872.41
"Multifactor 80 TM (ETF,exCore,QUSLGVMQ,5YMUNETF)",1,1032677.62
MA Cash Mgmt (Fidelity High Min),1,1028873.17
"Multifactor 80 TM (ETF, QUSLGVMQ, CA Muni)",1,1013086.21
"Multifactor 80 (ETF, B5YCRP)",1,998812.16
Blended - 00302,1,996009.08
Blended - 00288,1,976395.28
"Market 70 (ETF, ESG)",6,965535.54
Blended - 00309,1,941539.12
"Multifactor 30 (ETF, B5YCRP)",1,922730.52
"Income 60 (ETF, Ex China)",1,919888.1
"Multifactor 40 (ETF, exCore, QUSLGVMQ, 5YCRPETF)",1,916227.13
Blended - 00119,1,900956.58
Blended - 00132,1,900416.73
"Multifactor 50 TM (ETF, CA Muni)",3,900274.98
"Multifactor 10 (ETF, 5YCRPETF)",3,889066.73
Blended - 00127,1,873288.53
"Multifactor 20 (ETF, US Only)",4,871621.29
"Multifactor 10 (ETF, All Weather)",3,868822.27
"Market 70 TM (ETF, QUSLGMKT)",1,852484.69
Market 10 (ETF),6,831256.7699999999
Blended - 00081,1,826669.33
"Multifactor 30 TM (ETF, N7YMUN)",1,803526.22
"Multifactor 80 (ETF, exCore, QUSLGVMQ, 5YCRPETF)",1,796548.65
"Multifactor 40 (ETF, QUSALVMQ)",1,753865.13
"Multifactor 40 TM (ETF, exCore)",2,739972.87
"Multifactor 70 TM (ETF, US Only)",2,735724.23
"Multifactor 40 (ETF, exCore, B5YCRP)",1,728033.53
"Multifactor 30 TM (ETF, QUSLGVMQ, 5YMUNETF)",1,693422.02
"Income 40 (ETF, exCore)",1,692503.55
"Multifactor 60 (ETF, US Only, QUSALVMQ)",1,691405.74
"Income 30 (ETF, B5YCRP)",1,678642.87
"Income 20 (ETF, All Weather)",4,673689.69
"Market 80 (ETF, QUSALMKT)",1,649764.08
"Income 90 (ETF, All Weather)",3,619559.52
Market 50 (ERISA),2,614897.84
"Multifactor 50 (ETF, exCore, 5YCRPETF)",1,614502.16
QP Factor US Small VQ,2,604406.23
Market 100 (ERISA),3,601065.86
Blended - 00115,2,587275.5
"Multifactor 80 (ETF, 5YTRYETF)",3,575415.84
"Multifactor 50 TM (ETF, US Only)",2,573494.12
"Income 20 (ETF, exCore)",2,569455.51
Blended - 00113,1,562244.23
"Market 20 (ETF, ESG)",2,557631.8400000001
Market 70 (ERISA),1,553076.21
"Multifactor 70 (ETF, 9YTRYETF)",1,534898.39
MA Cash Mgmt TM (RayJay),6,523975.80000000005
"MA Multifactor US Large (ETF, exCore)",9,520779.11
"Market 20 (ETF, 5YCRPETF)",1,515544.33
"Market 80 (ETF, 5YCRPETF)",2,494534.43
"Market 70 (ETF, 5YCRPETF)",2,487086.06
Blended - 00120,2,485286.06999999995
"Multifactor 70 TM (ETF, QUSLGVMQ, CA Muni)",1,455036.25
"Market 60 TM (ETF, CA Muni)",1,451065.84
Blended - 00097,1,425630.41
"Market 70 (ETF, Low Min)",44,416330.52
Blended - 00093,1,413661.41
"Multifactor 30 TM (ETF, 5YMUNETF)",1,402960.94
Nuveen Municipal 1-10 Year,1,400028.56
"Multifactor 60 (ETF, Sustainable)",1,398385.98
Blended - 00001,1,375866.87
MA 9 Year Treasury Ladder (ETF),2,374790.8
"Market 70 TM (ETF, CA Muni)",1,367476.02
Blended - 00341,1,358789.55
"Market 10 (ETF, 5YCRPETF)",1,338222.4
"Multifactor 40 TM (ETF, 5YMUNETF)",1,322218.22
"Market 70 (ETF, QUSALMKT)",1,320942.98
"Multifactor 20 TM (ETF, US Only)",1,309582.69
"Multifactor 70 (ETF, US Only, 5YCRPETF)",2,306981.4
"Market 50 (ETF, Low Min)",27,294102.09
Market 20 (ERISA),2,274060.75
"Market 40 (ETF, Ex China)",1,269403.96
Blended - 00123,1,251132.84
"Market 70 TM (ETF, QUSALMKT)",1,250629.27
Blended - 00125,1,241932.38
"Multifactor 60 (ETF, 9YTRYETF)",1,240654.62
Blended - 00100,1,235812.5
"Multifactor 30 (ETF, exCore, 5YCRPETF)",1,228038.12
"Market 70 (ETF, 5YTRYETF)",2,226219.29
"Market 20 (ETF, Low Min)",18,224632.52
"MA Fixed Income (ETF, US Short Term)",4,221152.77000000002
"Multifactor 80 (ETF, US Only, QUSALVMQ)",1,217872.59
"Market 90 (ETF, Low Min)",24,212042.25
"Multifactor 20 (ETF, 5YCRPETF)",1,201582.7
"Multifactor 20 (ETF, All Weather)",1,195504.13
"Market 90 TM (ETF, CA Muni)",1,187109.71
Blended - 00344,1,167088.39
"Income 30 (ETF, exCore)",1,160407.74
MA Market Int'l Developed (ETF),2,140582.49
Blended - 00116,1,137494.17
Blended - 00124,1,137134.18
"Market 30 (ETF, Low Min)",12,134338.36
QP US Large Catholic Values,1,124825.06
"Market 50 TM (ETF, CA Muni)",1,120836.02
"Market 10 (ETF, ESG)",1,118710.41
"Market 60 (ETF, 5YTRYETF)",1,117878.29
"Multifactor 90 TM (ETF, Ex China)",1,116713.94
Blended - 00104,1,114986.06
QP Market US Large Div Income (Low Min),1,112311.94
"Multifactor 70 (ETF, Sustainable)",1,105854.56
"Market 60 (ETF, 5YCRPETF)",2,101919.13
"Multifactor 30 TM (ETF, exCore)",1,95610.26
"Market 10 (ETF, Low Min)",3,92740.81
"Multifactor 80 TM (ETF, US Only)",1,87602.89
MA Multifactor Int'l Developed (ETF),1,85245.17
"Multifactor 80 (ETF, US Only, 5YCRPETF)",1,79860.06
Market 20 TM (ETF),2,79643.77
MA Cash Mgmt (Schwab CA),1,78982.07
"Multifactor 10 (ETF, US Only)",1,78567.03
"Multifactor 10 TM (ETF, exCore)",1,77868.71
"MA Market Global (ETF, Shariah Compliant)",3,75280.43000000001
Blended - 00121,1,72358.68
MA Cash Mgmt (Fidelity CA),1,70322.78
Blended - 00078,1,62991
"Multifactor 50 TM (ETF, All Weather)",1,62131.31
MA Cash Mgmt TM (Schwab),1,59137.41
MA Market US Large (ERISA),7,55266.65
"Market 50 (ETF, 5YCRPETF)",1,52961.37
MA Income US Large (ETF),4,41289.61
Blended - 00122,1,37403.99
"Market 20 (ETF, 5YTRYETF)",1,33490.08
"MA Multifactor US Small (ETF, exCore)",1,30989
"MA Fixed Income (ETF, TIPS)",2,21822.440000000002
Blended - 00105,1,15519.29
MA Private Credit (Interval Funds),1,14396.87
"MA Fixed Income TM (ETF, US Only)",1,14142.56
"Market 90 (ETF, Shariah)",1,13013.97
Market 90 (ERISA),1,11429.23
MA Multifactor Emerging (ETF),1,8135.23
MA Market US Small (ETF),1,4195.85
